# WFIRST H band
# Angstroms  Transmission
13500   0
13622   0.1736842105
13744   0.3287719298
13866   0.4852631579
13988   0.6435087719
14110   0.9228070175
14232   0.9277192982
14354   0.9336842105
14476   0.938245614
14598   0.9428070175
14720   0.9466666667
14841   0.9498245614
14963   0.9533333333
15085   0.9561403509
15207   0.9596491228
15329   0.9631578947
15451   0.9663157895
15573   0.969122807
15695   0.9712280702
15817   0.9740350877
15939   0.9768421053
16061   0.9796491228
16183   0.9821052632
16305   0.9845614035
16427   0.9863157895
16549   0.9880701754
16671   0.9905263158
16793   0.9926315789
16915   0.9943859649
17037   0.9964912281
17159   0.998245614
17280   1
17402   0.9750877193
17524   0.8449122807
17646   0.7140350877
17768   0.5824561404
17890   0.450877193
18012   0.1859649123
18134   0.0533333333
18256   0
18378   0
18500   0
