# WFIRST J band
# Angstroms  Transmission
11000   0
11098   0
11195   0.0786984487
11293   0.2565266742
11390   0.4366250473
11488   0.6193719258
11585   0.8036322361
11683   0.8808172531
11780   0.8857359062
11878   0.8906545592
11976   0.8959515702
12073   0.9004918653
12171   0.9054105184
12268   0.9103291714
12366   0.9156261824
12463   0.9205448354
12561   0.9254634885
12659   0.9315172153
12756   0.9364358683
12854   0.9409761635
12951   0.9458948165
13049   0.9504351116
13146   0.9549754067
13244   0.9595157019
13341   0.964055997
13439   0.9682179342
13537   0.9723798714
13634   0.9765418086
13732   0.9807037457
13829   0.9863791146
13927   0.9905410518
14024   0.9935679152
14122   0.9962164207
14220   1
14317   0.9194097616
14415   0.7612561483
14512   0.6015891033
14610   0.4404086266
14707   0.278471434
14805   0.1150208097
14902   0
15000   0





