# WFIRST Y band
# Angstroms  Transmission
9119    0
9200    0.087628866
9280    0.3191580756
9361    0.5506872852
9441    0.7813573883
9522    0.918814433
9602    0.9183848797
9683    0.9179553265
9763    0.9175257732
9844    0.9170962199
9924    0.9166666667
10005   0.9162371134
10085   0.9183848797
10166   0.9222508591
10246   0.9248281787
10327   0.9286941581
10407   0.9312714777
10488   0.935137457
10568   0.9381443299
10649   0.9424398625
10729   0.9471649485
10810   0.9506013746
10890   0.9557560137
10971   0.9591924399
11051   0.9639175258
11132   0.9673539519
11212   0.9725085911
11293   0.9763745704
11373   0.9819587629
11454   0.985395189
11534   0.9905498282
11615   0.9961340206
11695   1
11776   0.9630584192
11856   0.7693298969
11937   0.574742268
12017   0.3775773196
12098   0.3792955326
12178   0.1795532646
12259   0
12339   0
12420   0
12500   0

